Event Name,Event Date,Rated,Round,Player 1,Player 2,Result
"TGE Armory Event","March 7, 2024, 7 p.m.","False",1,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Armory Event","March 7, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"TGE Armory Event","March 7, 2024, 7 p.m.","False",3,"Stanley, isaac (67696938)","Nelson, Legeand (12173288)","Player 2 Win"
"TGE On-Demand Draft","Feb. 29, 2024, 11 p.m.","False",1,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"TGE On-Demand Draft","Feb. 29, 2024, 11 p.m.","False",2,"Stanley, isaac (67696938)","Tharp, Daniel (37218473)","Player 2 Win"
"TGE On-Demand Draft","Feb. 29, 2024, 11 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"TGE Armory Event","Feb. 29, 2024, 7 p.m.","False",1,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Feb. 29, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"TGE Armory Event","Feb. 29, 2024, 7 p.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Draft","Feb. 22, 2024, 10 p.m.","False",1,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Draft","Feb. 22, 2024, 10 p.m.","False",2,"Stanley, isaac (67696938)","Semones, Zachary (71734921)","Player 1 Win"
"TGE On-Demand Draft","Feb. 22, 2024, 10 p.m.","False",3,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Armory Event","Feb. 22, 2024, 7 p.m.","False",1,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"TGE Armory Event","Feb. 22, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"TGE Armory Event","Feb. 22, 2024, 7 p.m.","False",3,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Feb. 15, 2024, 7 p.m.","False",1,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 1 Win"
"TGE Armory Event","Feb. 15, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Semones, Zachary (71734921)","Player 2 Win"
"TGE Armory Event","Feb. 15, 2024, 7 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"FAB Squad 3","Feb. 10, 2024, noon","False",1,"Stanley, isaac (67696938)","Baker, Ryan (59467933)","Player 1 Win"
"FAB Squad 3","Feb. 10, 2024, noon","False",2,"Stanley, isaac (67696938)","Weidinger, Chris (11759118)","Player 2 Win"
"FAB Squad 3","Feb. 10, 2024, noon","False",3,"Brushart, Logan (39642565)","Stanley, isaac (67696938)","Player 2 Win"
"FAB Squad 3","Feb. 10, 2024, noon","False",4,"Stanley, isaac (67696938)","Kohls, Matt (33466896)","Player 2 Win"
"FAB Squad 3","Feb. 10, 2024, noon","False",5,"Stanley, isaac (67696938)","Henry, Austin (93817747)","Player 2 Win"
"TGE Armory Event","Feb. 8, 2024, 7 p.m.","False",1,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Armory Event","Feb. 8, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 2 Win"
"TGE Armory Event","Feb. 8, 2024, 7 p.m.","False",3,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Draft","Feb. 1, 2024, 11:30 p.m.","False",1,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Draft","Feb. 1, 2024, 11:30 p.m.","False",2,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"TGE On-Demand Draft","Feb. 1, 2024, 11:30 p.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Feb. 1, 2024, 7 p.m.","False",1,"Stanley, isaac (67696938)","Tharp, Daniel (37218473)","Player 2 Win"
"TGE Armory Event","Feb. 1, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Wilborn, Granvul (95788316)","Player 1 Win"
"TGE Armory Event","Feb. 1, 2024, 7 p.m.","False",3,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Heavy Hitters Prerelease 2","Jan. 27, 2024, 6 p.m.","False",1,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Heavy Hitters Prerelease 2","Jan. 27, 2024, 6 p.m.","False",2,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Heavy Hitters Prerelease 2","Jan. 27, 2024, 6 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"TGE Heavy Hitters Prerelease","Jan. 27, 2024, 2 p.m.","False",1,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Heavy Hitters Prerelease","Jan. 27, 2024, 2 p.m.","False",2,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"TGE Heavy Hitters Prerelease","Jan. 27, 2024, 2 p.m.","False",3,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Jan. 25, 2024, 7 p.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"TGE Armory Event","Jan. 25, 2024, 7 p.m.","False",2,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Jan. 25, 2024, 7 p.m.","False",3,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
"TGE Armory Event","Jan. 18, 2024, 7 p.m.","False",1,"Stanley, isaac (67696938)","Semones, Zachary (71734921)","Player 2 Win"
"TGE Armory Event","Jan. 18, 2024, 7 p.m.","False",2,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Jan. 18, 2024, 7 p.m.","False",3,"Stanley, isaac (67696938)","None","Player 1 Win"
"TGE Ultimate Pit Fight","Jan. 16, 2024, 6 p.m.","False",1,"Semones, Zachary (71734921)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday UPF Social Play","Jan. 12, 2024, 4:29 p.m.","False",1,"Stanley, isaac (67696938)","Peters, Michael (13722331)","Player 1 Win"
"TGE Armory Event","Jan. 11, 2024, 7 p.m.","False",1,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 1 Win"
"TGE Armory Event","Jan. 11, 2024, 7 p.m.","False",2,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"TGE Armory Event","Jan. 11, 2024, 7 p.m.","False",3,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 2 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",1,"Rich, Ryan (61268882)","Stanley, isaac (67696938)","Player 1 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",2,"Stanley, isaac (67696938)","Jacks, Jayson (65481736)","Player 2 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",3,"Durham, Larry (32354778)","Stanley, isaac (67696938)","Player 2 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",4,"Lombardo, Gabriel (96352844)","Stanley, isaac (67696938)","Player 1 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",5,"Stanley, isaac (67696938)","hampson, Jacob (46224632)","Player 2 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",6,"Stevenson, Devin (22975731)","Stanley, isaac (67696938)","Player 2 Win"
"SUN 900 PTI - SCG CON Cincinnati","Jan. 7, 2024, 9 a.m.","False",7,"Fiefhaus, Silas (47612675)","Stanley, isaac (67696938)","Player 1 Win"
"SAT 900 Battle Hardened - SCG CON Cincinnati","Jan. 6, 2024, 9 a.m.","True",1,"STELL, SEAN (66211216)","Stanley, isaac (67696938)","Player 1 Win"
"SAT 900 Battle Hardened - SCG CON Cincinnati","Jan. 6, 2024, 9 a.m.","True",2,"Stanley, isaac (67696938)","Jones, Douglas (69329265)","Player 1 Win"
"SAT 900 Battle Hardened - SCG CON Cincinnati","Jan. 6, 2024, 9 a.m.","True",3,"Faris, Mara (57899695)","Stanley, isaac (67696938)","Player 1 Win"
